city_name,latitude,longitude,total_pop
Doezum,53.2,6.25,725
Hoedekenskerke,51.4242,3.9125,724
Veelerveen,53.0556,7.12778,720
Warns,52.8819,5.40444,720
Mûnein,53.2528,5.92,718
Sloten,52.8944,5.64528,715
Buren,53.4472,5.79889,715
West-Graftdijk,52.55,4.8,710
Oudelande,51.4083,3.85361,710
Middelie,52.5322,5.01722,709
Hekendorp,52.0153,4.80917,705
Nieuwaal,51.81,5.17833,702
Wijngaarden,51.8444,4.76111,697
IJsbrechtum,53.0414,5.63194,690
Oudebildtzijl,53.3011,5.71833,690
Tull en 't Waal,52.0006,5.13306,685
Mildam,52.9361,6.00167,685
Nieuwe Wetering,52.2,4.61667,676
Rottum,52.9358,5.89028,675
Bierum,53.3833,6.86667,673
Yde,53.1152,6.5929,658
Gasselternijveenschemond,52.9956,6.89722,655
Suwâld,53.1778,5.92639,652
De Wilgen,53.1,6.03333,651
Hommerts,52.9789,5.64806,650
Bantega,52.8417,5.84167,650
Wijckel,52.8886,5.62139,645
Midlum,53.1822,5.4475,645
Kolhorn,52.7928,4.88889,645
Heenweg,51.9833,4.18333,641
Zwagerbosch,53.2333,6.05,638
Alem,51.7869,5.34361,636
Rauwerd,53.0981,5.75917,630
Oostwold,53.2014,6.44139,630
Achlum,53.1492,5.48472,629
Westergeest,53.2911,6.08556,621
Lange Linschoten,52.05,4.88333,620
Baarland,51.4083,3.885,619
Schipborg,53.0744,6.66944,618
Ter Heijde,52.0297,4.1675,610
Hemelum,52.8811,5.45639,610
Katlijk,52.9467,6.01278,610
Acquoy,51.8789,5.13583,608
Nisse,51.4553,3.85167,607
Burum,53.2667,6.23333,606
Oudkerk,53.2636,5.88833,606
Zuidschermer,52.5833,4.78333,600
Onderdendam,53.3333,6.58333,600
Slenaken,50.7667,5.86667,600
Sjlennich,50.7667,5.86667,600
Pingjum,53.116,5.44,595
Haule,53.0369,6.30417,593
Elsloo,52.9428,6.2375,592
Sebaldeburen,53.2167,6.28333,590
Blauwhuis,53.0225,5.53222,585
Wedde,53.0694,7.07917,585
Est,51.8525,5.31361,578
Tinte,51.8833,4.13333,576
Weidum,53.1458,5.74389,576
Termunten,53.3,7.05,575
Driewegen,51.4175,3.80333,574
Wytgaard,53.1408,5.78389,570
Altforst,51.85,5.56667,566
Uitweg,51.9825,5.01444,565
Enspijk,51.8836,5.21306,565
Engwierum,53.3197,6.13667,565
Rotsterhaule,52.9289,5.85194,565
Kimswerd,53.1403,5.43556,565
Haskerhorne,52.9528,5.82917,565
Noordeinde,52.2,4.76667,561
Oosterbierum,53.2339,5.51194,561
Nijemirdum,52.8572,5.56972,555
Kreileroord,52.8422,5.08139,553
Darp,52.775,6.20361,550
Kerkwijk,51.7744,5.21944,550
Beets,52.5892,4.9775,541
Witharen,52.5608,6.39583,540
Lopikerkapel,51.9919,5.04722,535
Oosterstreek,52.8992,6.16917,535
Haarzuilens,52.1214,4.99639,534
Hengstdijk,51.3433,3.99528,534
Vrouwenparochie,53.2797,5.70028,530
Terhole,51.3167,4.0375,523
's-Heer Abtskerke,51.4703,3.885,520
Huisduinen,52.9522,4.72611,513
Gapinge,51.5439,3.62444,512
Zwaagdijk-West,52.6758,5.05917,510
Loenersloot,52.2297,5.00139,510
Kornhorn,53.1833,6.25,500
Oostknollendam,52.5172,4.79028,492
Scharwoude,52.6167,5.01667,490
Parrega,53.0175,5.47778,490
Wijnaldum,53.195,5.45972,490
Munnekezijl,53.3,6.26667,488
Nijeholtpade,52.9125,6.07833,485
Nes aan de Amstel,52.2592,4.87083,480
Lakerveld,51.9617,5.01889,480
Idskenhuizen,52.9286,5.71333,480
Kollumerpomp,53.3,6.2,478
Zandeweer,53.3833,6.68333,475
Burgerbrug,52.75,4.7,475
Eexterveen,53.0539,6.80056,471
Exmorra,53.0553,5.46361,470
Harich,52.9028,5.56611,470
Hertme,52.3167,6.75,466
Hoorn,53.3964,5.34194,465
Welsrijp,53.1664,5.60667,463
The Bottom,17.6261,-63.2492,462
Blesdijke,52.8303,6.01361,461
Nijega,53.1403,6.02444,461
Varsen,52.5228,6.3825,460
Kapel-Avezaath,51.8803,5.37917,460
Tjerkwerd,53.0419,5.50111,455
Oudendijk,52.6,4.96667,450
Scherpenzeel,52.8322,5.87528,449
Lemselo,52.3364,6.89556,440
